"topic","num_papers","pct"
"Optical Polarization and Ellipsometry",9,0.1
"Peripheral Artery Disease Management",9,0.1
"Pleistocene-Era Hominins and Archaeology",9,0.1
"Primate Behavior and Ecology",9,0.1
"Smoking Behavior and Cessation",9,0.1
"Strong Light-Matter Interactions",9,0.1
"Surgical Simulation and Training",9,0.1
"Transcranial Magnetic Stimulation Studies",9,0.1
"Trauma, Hemostasis, Coagulopathy, Resuscitation",9,0.1
"Treatment of Major Depression",9,0.1
"earthquake and tectonic studies",9,0.1
"AI in cancer detection",8,0.1
"Advanced Malware Detection Techniques",8,0.1
"Antibiotic Resistance in Bacteria",8,0.1
"Bone fractures and treatments",8,0.1
"Cardiac Arrest and Resuscitation",8,0.1
"Cardiac Fibrosis and Remodeling",8,0.1
"Chromosomal and Genetic Variations",8,0.1
"Cleft Lip and Palate Research",8,0.1
"Computational Fluid Dynamics and Aerodynamics",8,0.1
"Cutaneous Melanoma Detection and Management",8,0.1
"Digital Transformation in Industry",8,0.1
"EFL/ESL Teaching and Learning",8,0.1
"Food Security and Health in Diverse Populations",8,0.1
"Frailty in Older Adults",8,0.1
"Genetic Associations and Epidemiology",8,0.1
"Hepatocellular Carcinoma Treatment and Prognosis",8,0.1
"High-Energy Particle Collisions Research",8,0.1
"Infection Control and Ventilation",8,0.1
"Insect Resistance and Genetics",8,0.1
"Isotope Analysis in Ecology",8,0.1
"Liver Disease and Transplantation",8,0.1
"Machine Learning in Healthcare",8,0.1
"Neuroscience and Neuropharmacology Research",8,0.1
"Quantum Mechanics and Applications",8,0.1
"Rangeland and Wildlife Management",8,0.1
"Seismic Waves and Analysis",8,0.1
"Sleep and Work-Related Fatigue",8,0.1
"Soil Carbon and Nitrogen Dynamics",8,0.1
"Soil and Unsaturated Flow",8,0.1
"Spacecraft Design and Technology",8,0.1
"Spine and Intervertebral Disc Pathology",8,0.1
"Stress Responses and Cortisol",8,0.1
"Urban Transport and Accessibility",8,0.1
"Vaccine Coverage and Hesitancy",8,0.1
"Academic Research in Diverse Fields",7,0.1
"Acute Ischemic Stroke Management",7,0.1
"Advanced Fluorescence Microscopy Techniques",7,0.1
"Advanced optical system design",7,0.1
"Amyotrophic Lateral Sclerosis Research",7,0.1
"Archaeology and Natural History",7,0.1
"Astrophysics and Cosmic Phenomena",7,0.1
"Autoimmune Bullous Skin Diseases",7,0.1
"Bacteriophages and microbial interactions",7,0.1
"Balance, Gait, and Falls Prevention",7,0.1
"Calibration and Measurement Techniques",7,0.1
"Cardiovascular Health and Risk Factors",7,0.1
"Cerebrospinal fluid and hydrocephalus",7,0.1
"Chronic Disease Management Strategies",7,0.1
"Chronic Obstructive Pulmonary Disease (COPD) Research",7,0.1
"Connective tissue disorders research",7,0.1
"Cytomegalovirus and herpesvirus research",7,0.1
"Diet and metabolism studies",7,0.1
"Discourse Analysis in Language Studies",7,0.1
"Environmental Justice and Health Disparities",7,0.1
"Epilepsy research and treatment",7,0.1
"Ethics in Clinical Research",7,0.1
"Financial Literacy, Pension, Retirement Analysis",7,0.1
"Genetics, Aging, and Longevity in Model Organisms",7,0.1
"Genomics and Rare Diseases",7,0.1
"Geochemistry and Geologic Mapping",7,0.1
"Global Health and Surgery",7,0.1
"Health and Medical Research Impacts",7,0.1
"Hearing, Cochlea, Tinnitus, Genetics",7,0.1
"Indigenous Health, Education, and Rights",7,0.1
"Ionosphere and magnetosphere dynamics",7,0.1
"Landslides and related hazards",7,0.1
"Laser-Matter Interactions and Applications",7,0.1
"MXene and MAX Phase Materials",7,0.1
"Maternal and Perinatal Health Interventions",7,0.1
"Medical Imaging Techniques and Applications",7,0.1
"Migration, Health and Trauma",7,0.1
"Mitochondrial Function and Pathology",7,0.1
"Multiple Myeloma Research and Treatments",7,0.1
"Musculoskeletal pain and rehabilitation",7,0.1
"Numerical methods in engineering",7,0.1
"Optical Imaging and Spectroscopy Techniques",7,0.1
"Optical Systems and Laser Technology",7,0.1
"Organ Transplantation Techniques and Outcomes",7,0.1
"Physical Activity and Health",7,0.1
"Posttraumatic Stress Disorder Research",7,0.1
"Prenatal Substance Exposure Effects",7,0.1
"Reproductive tract infections research",7,0.1
"Respiratory Support and Mechanisms",7,0.1
"Systems Engineering Methodologies and Applications",7,0.1
"Trauma and Emergency Care Studies",7,0.1
"Traumatic Brain Injury and Neurovascular Disturbances",7,0.1
"Ultrasound in Clinical Applications",7,0.1
"Venomous Animal Envenomation and Studies",7,0.1
"Wireless Communication Security Techniques",7,0.1
"2D Materials and Applications",6,0.1
"AI in Service Interactions",6,0.1
"Acute Myeloid Leukemia Research",6,0.1
"Acute Myocardial Infarction Research",6,0.1
"Adversarial Robustness in Machine Learning",6,0.1
"Agricultural risk and resilience",6,0.1
"Anomaly Detection Techniques and Applications",6,0.1
"Artificial Intelligence in Healthcare",6,0.1
"CRISPR and Genetic Engineering",6,0.1
"Cardiac pacing and defibrillation studies",6,0.1
"Cell Adhesion Molecules Research",6,0.1
"Child and Adolescent Psychosocial and Emotional Development",6,0.1
"Cholangiocarcinoma and Gallbladder Cancer Studies",6,0.1
"Chronic Kidney Disease and Diabetes",6,0.1
"Clostridium difficile and Clostridium perfringens research",6,0.1
"Complementary and Alternative Medicine Studies",6,0.1
"Concrete and Cement Materials Research",6,0.1
"Data Visualization and Analytics",6,0.1
"Disaster Management and Resilience",6,0.1
"Ethics and Social Impacts of AI",6,0.1
"Evolution and Paleontology Studies",6,0.1
"Gas Dynamics and Kinetic Theory",6,0.1
"Gender Politics and Representation",6,0.1
"Genomics and Phylogenetic Studies",6,0.1
"Hearing Loss and Rehabilitation",6,0.1
"Heavy metals in environment",6,0.1
"High-pressure geophysics and materials",6,0.1
"Homelessness and Social Issues",6,0.1
"Immunotherapy and Immune Responses",6,0.1
"Information and Cyber Security",6,0.1
"Insect and Pesticide Research",6,0.1
"Interdisciplinary Research and Collaboration",6,0.1
"Menopause: Health Impacts and Treatments",6,0.1
"Methane Hydrates and Related Phenomena",6,0.1
"Mindfulness and Compassion Interventions",6,0.1
"Misinformation and Its Impacts",6,0.1
"Network Security and Intrusion Detection",6,0.1
"Neural Networks and Applications",6,0.1
"Neuroinflammation and Neurodegeneration Mechanisms",6,0.1
"Organic Food and Agriculture",6,0.1
"Orthopaedic implants and arthroplasty",6,0.1
"Orthopedic Surgery and Rehabilitation",6,0.1
"Paleontology and Stratigraphy of Fossils",6,0.1
"Parallel Computing and Optimization Techniques",6,0.1
"Photoacoustic and Ultrasonic Imaging",6,0.1
"Photocathodes and Microchannel Plates",6,0.1
"Pituitary Gland Disorders and Treatments",6,0.1
"Plant Pathogens and Fungal Diseases",6,0.1
"Precipitation Measurement and Analysis",6,0.1
"Prostate Cancer Treatment and Research",6,0.1
"Psoriasis: Treatment and Pathogenesis",6,0.1
"Psychosomatic Disorders and Their Treatments",6,0.1
"Racial and Ethnic Identity Research",6,0.1
"Radiomics and Machine Learning in Medical Imaging",6,0.1
"Systemic Lupus Erythematosus Research",6,0.1
"Takotsubo Cardiomyopathy and Associated Phenomena",6,0.1
"Traffic Prediction and Management Techniques",6,0.1
"Transboundary Water Resource Management",6,0.1
"Ultrasound and Hyperthermia Applications",6,0.1
"Urban Heat Island Mitigation",6,0.1
"Virtual Reality Applications and Impacts",6,0.1
"Adaptive Control of Nonlinear Systems",5,0.1
"Additive Manufacturing and 3D Printing Technologies",5,0.1
"Advanced Fiber Optic Sensors",5,0.1
"Advanced Measurement and Metrology Techniques",5,0.1
"Advanced Surface Polishing Techniques",5,0.1
"Air Quality Monitoring and Forecasting",5,0.1
"Anesthesia and Pain Management",5,0.1
"Aortic Disease and Treatment Approaches",5,0.1
"Arsenic contamination and mitigation",5,0.1
"Atmospheric Ozone and Climate",5,0.1
"Attention Deficit Hyperactivity Disorder",5,0.1
"Biomedical Text Mining and Ontologies",5,0.1
"Bone health and osteoporosis research",5,0.1
"COVID-19 and Mental Health",5,0.1
"COVID-19 epidemiological studies",5,0.1
"Cardiac Structural Anomalies and Repair",5,0.1
"Cardiovascular Disease and Adiposity",5,0.1
"Cardiovascular Issues in Pregnancy",5,0.1
"Career Development and Diversity",5,0.1
"Child Nutrition and Water Access",5,0.1
"Community Health and Development",5,0.1
"Complex Systems and Decision Making",5,0.1
"Composting and Vermicomposting Techniques",5,0.1
"Conducting polymers and applications",5,0.1
"Congenital heart defects research",5,0.1
"Coronary Interventions and Diagnostics",5,0.1
"Creativity in Education and Neuroscience",5,0.1
"Cystic Fibrosis Research Advances",5,0.1
"DNA and Nucleic Acid Chemistry",5,0.1
"Diabetes and associated disorders",5,0.1
"Dialysis and Renal Disease Management",5,0.1
"Endometrial and Cervical Cancer Treatments",5,0.1
"Endometriosis Research and Treatment",5,0.1
"Engineering Education and Curriculum Development",5,0.1
"Estrogen and related hormone effects",5,0.1
"Experimental Behavioral Economics Studies",5,0.1
"Groundwater and Isotope Geochemistry",5,0.1
"Groundwater flow and contamination studies",5,0.1
"Gut microbiota and health",5,0.1
"Health Sciences Research and Education",5,0.1
"Heavy Metal Exposure and Toxicity",5,0.1
"Higher Education Research Studies",5,0.1
"Historical, Literary, and Cultural Studies",5,0.1
"Human auditory perception and evaluation",5,0.1
"Indigenous Cultures and Socio-Education",5,0.1
"Indigenous Studies and Ecology",5,0.1
"Infrastructure Maintenance and Monitoring",5,0.1
"Inhalation and Respiratory Drug Delivery",5,0.1
"International Student and Expatriate Challenges",5,0.1
"Invertebrate Immune Response Mechanisms",5,0.1
"Knee injuries and reconstruction techniques",5,0.1
"Machine Learning in Bioinformatics",5,0.1
"Metal Forming Simulation Techniques",5,0.1
"Mining Techniques and Economics",5,0.1
"Muscle Physiology and Disorders",5,0.1
"Natural Language Processing Techniques",5,0.1
"Neuroendocrine Tumor Research Advances",5,0.1
"Neuroscience of respiration and sleep",5,0.1
"Non-Invasive Vital Sign Monitoring",5,0.1
"Online Learning and Analytics",5,0.1
"Opinion Dynamics and Social Influence",5,0.1
"Optical measurement and interference techniques",5,0.1
"Pancreatic function and diabetes",5,0.1
"Parental Involvement in Education",5,0.1
"Patient-Provider Communication in Healthcare",5,0.1
"Peatlands and Wetlands Ecology",5,0.1
"Pharmaceutical Practices and Patient Outcomes",5,0.1
"Pharmacogenetics and Drug Metabolism",5,0.1
"Photoreceptor and optogenetics research",5,0.1
"Plant Pathogenic Bacteria Studies",5,0.1
"Privacy-Preserving Technologies in Data",5,0.1
"RNA modifications and cancer",5,0.1
"Radioactive element chemistry and processing",5,0.1
"Radiology practices and education",5,0.1
"Reconstructive Surgery and Microvascular Techniques",5,0.1
"Renal cell carcinoma treatment",5,0.1
"S100 Proteins and Annexins",5,0.1
"SARS-CoV-2 and COVID-19 Research",5,0.1
"SARS-CoV-2 detection and testing",5,0.1
"Social Media and Politics",5,0.1
"Social and Intergroup Psychology",5,0.1
"Solar Thermal and Photovoltaic Systems",5,0.1
"Space Satellite Systems and Control",5,0.1
"Spacecraft Dynamics and Control",5,0.1
"Spectroscopy and Laser Applications",5,0.1
"Spinal Dysraphism and Malformations",5,0.1
"Subterranean biodiversity and taxonomy",5,0.1
"Synthesis and Properties of Aromatic Compounds",5,0.1
"Synthesis and properties of polymers",5,0.1
"Thyroid Cancer Diagnosis and Treatment",5,0.1
"Toxoplasma gondii Research Studies",5,0.1
"Tropical and Extratropical Cyclones Research",5,0.1
"Tuberculosis Research and Epidemiology",5,0.1
"Urban Green Space and Health",5,0.1
"Vestibular and auditory disorders",5,0.1
"Viral Infections and Immunology Research",5,0.1
"Water Systems and Optimization",5,0.1
"Zoonotic diseases and public health",5,0.1
"3D Printing in Biomedical Research",4,0.1
"Acute Kidney Injury Research",4,0.1
"Adipose Tissue and Metabolism",4,0.1
"Advanced Glycation End Products research",4,0.1
"Advanced Optical Sensing Technologies",4,0.1
"Advanced Semiconductor Detectors and Materials",4,0.1
"Algebraic Geometry and Number Theory",4,0.1
"Amphibian and Reptile Biology",4,0.1
"Appendicitis Diagnosis and Management",4,0.1
"Aquaculture disease management and microbiota",4,0.1
"Art Education and Development",4,0.1
"Astronomical Observations and Instrumentation",4,0.1
"Atomic and Molecular Physics",4,0.1
"Autism Spectrum Disorder Research",4,0.1
"Big Data and Business Intelligence",4,0.1
"Birth, Development, and Health",4,0.1
"Blockchain Technology Applications and Security",4,0.1
"Bullying, Victimization, and Aggression",4,0.1
"Cardiac Imaging and Diagnostics",4,0.1
"Cerebral Palsy and Movement Disorders",4,0.1
"Climate change impacts on agriculture",4,0.1
"Complex Network Analysis Techniques",4,0.1
"Coral and Marine Ecosystems Studies",4,0.1
"Corneal surgery and disorders",4,0.1
"Counseling Practices and Supervision",4,0.1
"Crystal Structures and Properties",4,0.1
"Delphi Technique in Research",4,0.1
"Digital Economy and Work Transformation",4,0.1
"Dysphagia Assessment and Management",4,0.1
"EEG and Brain-Computer Interfaces",4,0.1
"Early Childhood Education and Development",4,0.1
"Education and Public Policy",4,0.1
"Education and experiences of immigrants and refugees",4,0.1
"Education, Achievement, and Giftedness",4,0.1
"Electronic Health Records Systems",4,0.1
"Embedded Systems Design Techniques",4,0.1
"Employment and Welfare Studies",4,0.1
"Enhanced Oil Recovery Techniques",4,0.1
"Explainable Artificial Intelligence (XAI)",4,0.1
"Fish Ecology and Management Studies",4,0.1
"Foot and Ankle Surgery",4,0.1
"Forest Management and Policy",4,0.1
"Game Theory and Applications",4,0.1
"Gastrointestinal motility and disorders",4,0.1
"Gene expression and cancer classification",4,0.1
"Genetics and Neurodevelopmental Disorders",4,0.1
"Geriatric Care and Nursing Homes",4,0.1
"Glioma Diagnosis and Treatment",4,0.1
"Global Peace and Security Dynamics",4,0.1
"Grief, Bereavement, and Mental Health",4,0.1
"Grit, Self-Efficacy, and Motivation",4,0.1
"Gun Ownership and Violence Research",4,0.1
"Head and Neck Surgical Oncology",4,0.1
"Health and Wellbeing Research",4,0.1
"Hearing Impairment and Communication",4,0.1
"High Entropy Alloys Studies",4,0.1
"History and Developments in Astronomy",4,0.1
"Identity, Memory, and Therapy",4,0.1
"Immunodeficiency and Autoimmune Disorders",4,0.1
"Inflammasome and immune disorders",4,0.1
"Influenza Virus Research Studies",4,0.1
"LGBTQ Health, Identity, and Policy",4,0.1
"Land Use and Ecosystem Services",4,0.1
"Laser Material Processing Techniques",4,0.1
"Legal principles and applications",4,0.1
"Lymphatic System and Diseases",4,0.1
"Maternal Mental Health During Pregnancy and Postpartum",4,0.1
"Mathematics Education and Teaching Techniques",4,0.1
"Media Influence and Health",4,0.1
"Model Reduction and Neural Networks",4,0.1
"Multimodal Machine Learning Applications",4,0.1
"Music Technology and Sound Studies",4,0.1
"Neural and Behavioral Psychology Studies",4,0.1
"Neurobiology of Language and Bilingualism",4,0.1
"Neuroendocrine regulation and behavior",4,0.1
"Neurological Disease Mechanisms and Treatments",4,0.1
"Nursing Education, Practice, and Leadership",4,0.1
"Nutrition, Genetics, and Disease",4,0.1
"Ophthalmology and Visual Impairment Studies",4,0.1
"Optical Coatings and Gratings",4,0.1
"Optical Coherence Tomography Applications",4,0.1
"Optical Wireless Communication Technologies",4,0.1
"Oral Health Pathology and Treatment",4,0.1
"Orbital Angular Momentum in Optics",4,0.1
"Pain Management and Opioid Use",4,0.1
"Palliative Care and End-of-Life Issues",4,0.1
"Parasites and Host Interactions",4,0.1
"Parathyroid Disorders and Treatments",4,0.1
"Pelvic floor disorders treatments",4,0.1
"Photodynamic Therapy Research Studies",4,0.1
"Phytoplasmas and Hemiptera pathogens",4,0.1
"Plant-Microbe Interactions and Immunity",4,0.1
"Pluripotent Stem Cells Research",4,0.1
"Posthumanist Ethics and Activism",4,0.1
"Public Health Policies and Education",4,0.1
"Qualitative Research Methods and Ethics",4,0.1
"RNA and protein synthesis mechanisms",4,0.1
"Race, Genetics, and Society",4,0.1
"Race, History, and American Society",4,0.1
"Radiation Detection and Scintillator Technologies",4,0.1
"Radical Photochemical Reactions",4,0.1
"Radio Astronomy Observations and Technology",4,0.1
"Random Matrices and Applications",4,0.1
"Rangeland Management and Livestock Ecology",4,0.1
"Reading and Literacy Development",4,0.1
"Regulation of Appetite and Obesity",4,0.1
"Retinal Diseases and Treatments",4,0.1
"Science Education and Pedagogy",4,0.1
"Science, Research, and Medicine",4,0.1
"Second Language Acquisition and Learning",4,0.1
"Seismic Performance and Analysis",4,0.1
"Soil Moisture and Remote Sensing",4,0.1
"Soil erosion and sediment transport",4,0.1
"Space Science and Extraterrestrial Life",4,0.1
"Spatial Cognition and Navigation",4,0.1
"Stroke Rehabilitation and Recovery",4,0.1
"Teacher Education and Leadership Studies",4,0.1
"Tensor decomposition and applications",4,0.1
"Total Knee Arthroplasty Outcomes",4,0.1
"Tracheal and airway disorders",4,0.1
"Transportation Planning and Optimization",4,0.1
"Urban Agriculture and Sustainability",4,0.1
"Urban Stormwater Management Solutions",4,0.1
"Vascular Anomalies and Treatments",4,0.1
"Vehicular Ad Hoc Networks (VANETs)",4,0.1
"Wastewater Treatment and Reuse",4,0.1
"Wound Healing and Treatments",4,0.1
"melanin and skin pigmentation",4,0.1
"3D Surveying and Cultural Heritage",3,0
"Advanced Breast Cancer Therapies",3,0
"Advanced Fiber Laser Technologies",3,0
"Advanced MEMS and NEMS Technologies",3,0
"Advanced Memory and Neural Computing",3,0
"Advanced Photocatalysis Techniques",3,0
"Advanced Steganography and Watermarking Techniques",3,0
"Advanced X-ray Imaging Techniques",3,0
"Advancements in Photolithography Techniques",3,0
"Advances in Oncology and Radiotherapy",3,0
"Aerodynamics and Fluid Dynamics Research",3,0
"Agriculture and Rural Development Research",3,0
"Algebraic structures and combinatorial models",3,0
"Anaerobic Digestion and Biogas Production",3,0
"Anatomy and Medical Technology",3,0
"Anesthesia and Neurotoxicity Research",3,0
"Angiogenesis and VEGF in Cancer",3,0
"Animal Behavior and Reproduction",3,0
"Antibiotic Use and Resistance",3,0
"Antibiotics Pharmacokinetics and Efficacy",3,0
"Antifungal resistance and susceptibility",3,0
"Antiplatelet Therapy and Cardiovascular Diseases",3,0
"Aortic aneurysm repair treatments",3,0
"Aquaculture Nutrition and Growth",3,0
"Archaeology and Rock Art Studies",3,0
"Augmented Reality Applications",3,0
"Autoimmune and Inflammatory Disorders Research",3,0
"BIM and Construction Integration",3,0
"Bariatric Surgery and Outcomes",3,0
"Bat Biology and Ecology Studies",3,0
"Bladder and Urothelial Cancer Treatments",3,0
"Blood Coagulation and Thrombosis Mechanisms",3,0
"Blood transfusion and management",3,0
"Bone Metabolism and Diseases",3,0
"Botulinum Toxin and Related Neurological Disorders",3,0
"Brain Tumor Detection and Classification",3,0
"Breast Implant and Reconstruction",3,0
"Breastfeeding Practices and Influences",3,0
"CCD and CMOS Imaging Sensors",3,0
"COVID-19 and healthcare impacts",3,0
"Cancer Risks and Factors",3,0
"Cancer, Hypoxia, and Metabolism",3,0
"Carbon Dioxide Capture Technologies",3,0
"Cardiac Health and Mental Health",3,0
"Cardiac tumors and thrombi",3,0
"Cardiovascular Effects of Exercise",3,0
"Cardiovascular and exercise physiology",3,0
"Cell Image Analysis Techniques",3,0
"Cellular Mechanics and Interactions",3,0
"Central Venous Catheters and Hemodialysis",3,0
"Chemotherapy-induced cardiotoxicity and mitigation",3,0
"Childhood Cancer Survivors' Quality of Life",3,0
"Cholesterol and Lipid Metabolism",3,0
"Climate Change Communication and Perception",3,0
"Climate change and permafrost",3,0
"Cloud Computing and Resource Management",3,0
"Coffee research and impacts",3,0
"Color perception and design",3,0
"Colorectal and Anal Carcinomas",3,0
"Complement system in diseases",3,0
"Computer Graphics and Visualization Techniques",3,0
"Consumer Retail Behavior Studies",3,0
"Corporate Finance and Governance",3,0
"Craniofacial Disorders and Treatments",3,0
"Criminal Justice and Corrections Analysis",3,0
"Cultural Competency in Health Care",3,0
"Cultural Industries and Urban Development",3,0
"Dark Matter and Cosmic Phenomena",3,0
"Diabetes Management and Education",3,0
"Diabetes Management and Research",3,0
"Diabetes, Cardiovascular Risks, and Lipoproteins",3,0
"Digital Holography and Microscopy",3,0
"Digital Mental Health Interventions",3,0
"Digital Storytelling and Education",3,0
"Diverse Educational Innovations Studies",3,0
"Doctoral Education Challenges and Solutions",3,0
"Down syndrome and intellectual disability research",3,0
"Drug-Induced Hepatotoxicity and Protection",3,0
"E-commerce and Technology Innovations",3,0
"Economic and Environmental Valuation",3,0
"Educational Leadership and Practices",3,0
"Eicosanoids and Hypertension Pharmacology",3,0
"Elasticity and Material Modeling",3,0
"Electric Vehicles and Infrastructure",3,0
"Empathy and Medical Education",3,0
"Endoplasmic Reticulum Stress and Disease",3,0
"Energy, Environment, Economic Growth",3,0
"Energy, Environment, and Transportation Policies",3,0
"Environmental DNA in Biodiversity Studies",3,0
"Environmental Monitoring and Data Management",3,0
"Eosinophilic Esophagitis",3,0
"Epistemology, Ethics, and Metaphysics",3,0
"Error Correcting Code Techniques",3,0
"Erythrocyte Function and Pathophysiology",3,0
"Esophageal and GI Pathology",3,0
"Evolutionary Game Theory and Cooperation",3,0
"Family and Patient Care in Intensive Care Units",3,0
"Fecal contamination and water quality",3,0
"Fluorine in Organic Chemistry",3,0
"Folate and B Vitamins Research",3,0
"Fullerene Chemistry and Applications",3,0
"Fungal Biology and Applications",3,0
"Gallbladder and Bile Duct Disorders",3,0
"Gastric Cancer Management and Outcomes",3,0
"Gaze Tracking and Assistive Technology",3,0
"Generative Adversarial Networks and Image Synthesis",3,0
"Genetic Mapping and Diversity in Plants and Animals",3,0
